Gene Species Taxon Signature
0 G000468755 G000468755 0.000650638671260378
0 G910588205 G910588205 0.000650638671260378
0 G910588905 G910588905 0.000650638671260378
0 G903828785 G903828785 0.000650638671260378
0 G902803315 G902803315 0.0005208159070737207
0 G902793465 G902793465 0.000650638671260378
0 G000745905 G000745905 0.000650638671260378
0 G017545665 G017545665 0.0003427713271776028
0 G001767255 G001767255 0.0032644246478743216
0 G002305995 G002305995 0.0003427713271776028
0 G910588435 G910588435 0.0003427713271776028
0 G003168075 G003168075 0.0003427713271776028
0 G902772085 G902772085 0.00026332466854743844
0 G903826715 G903826715 0.00026332466854743844
0 G003133005 G003133005 0.00026332466854743844
0 G011038655 G011038655 0.0032644246478743216
0 G011038645 G011038645 0.0032644246478743216
0 G002287505 G002287505 0.0032644246478743216
0 G003688935 G003688935 0.0032644246478743216
0 G003693265 G003693265 0.0032644246478743216
0 G003070865 G003070865 0.0032644246478743216
0 G000577555 G000577555 0.0032644246478743216
0 G900103625 G900103625 0.0032644246478743216
0 G900078305 G900078305 0.0032644246478743216
0 G000372085 G000372085 0.0032644246478743216
0 G001831515 G001831515 0.0032644246478743216
0 G000739455 G000739455 0.0032644246478743216
0 G007641235 G007641235 0.0032644246478743216
0 G000159635 G000159635 0.0032644246478743216
0 G903645305 G903645305 0.0032644246478743216
0 G002339505 G002339505 0.0032644246478743216
0 G016728705 G016728705 0.0032644246478743216
0 G001812805 G001812805 0.0032644246478743216
0 G000420605 G000420605 0.0032644246478743216
0 G019114925 G019114925 0.0032644246478743216
0 G000022905 G000022905 0.0032644246478743216
0 G900156665 G900156665 0.0032644246478743216
0 G900411315 G900411315 0.0032644246478743216
0 G001836165 G001836165 0.0032644246478743216
0 G000478175 G000478175 0.0032644246478743216
0 G000833575 G000833575 0.0032644246478743216
0 G000988205 G000988205 0.0032644246478743216
0 G016889765 G016889765 0.0032644246478743216
0 G903830745 G903830745 0.00014858052561151833
0 G003162475 G003162475 0.00014858052561151833
0 G000519325 G000519325 0.00014858052561151833
0 G000143825 G000143825 0.0032644246478743216
0 G900618065 G900618065 0.0032644246478743216
0 G015752125 G015752125 0.0032644246478743216
0 G000159115 G000159115 0.0032644246478743216
0 G002861385 G002861385 0.0032644246478743216
0 G000805675 G000805675 0.0032644246478743216
0 G000296405 G000296405 0.0032644246478743216
0 G017942225 G017942225 0.0032644246478743216
0 G900187295 G900187295 0.0032644246478743216
0 G003065405 G003065405 0.0032644246478743216
0 G000732945 G000732945 0.0032644246478743216
0 G001815935 G001815935 0.0032644246478743216
0 G000550785 G000550785 0.0032644246478743216
0 G900092335 G900092335 0.0032644246478743216
0 G000159135 G000159135 0.0032644246478743216
0 G000375525 G000375525 0.0032644246478743216
0 G006334925 G006334925 0.0032644246478743216
0 G000980815 G000980815 0.0032644246478743216
0 G000688415 G000688415 0.0032644246478743216
0 G001941425 G001941425 0.0032644246478743216
0 G001941345 G001941345 0.0032644246478743216
0 G002967075 G002967075 0.0032644246478743216
0 G016127015 G016127015 0.0032644246478743216
0 G008693065 G008693065 0.0032644246478743216
0 G900539985 G900539985 0.0032644246478743216
0 G001586215 G001586215 0.0032644246478743216
0 G002154655 G002154655 0.0032644246478743216
0 G013408445 G013408445 0.0032644246478743216
0 G016894265 G016894265 0.0032644246478743216
0 G000175635 G000175635 0.0032644246478743216
0 G001021065 G001021065 0.0032644246478743216
0 G008693105 G008693105 0.0032644246478743216
0 G900155535 G900155535 0.0032644246478743216
0 G000379425 G000379425 0.0032644246478743216
0 G000379705 G000379705 0.0032644246478743216
0 G000373805 G000373805 0.0032644246478743216
0 G000767055 G000767055 0.0032644246478743216
0 G001643015 G001643015 0.0032644246478743216
0 G014217255 G014217255 0.0032644246478743216
0 G000442645 G000442645 0.0032644246478743216
0 G001941485 G001941485 0.0032644246478743216
0 G004795735 G004795735 0.0032644246478743216
0 G000011325 G000011325 0.001136077778132927
0 G002355155 G002355155 0.0010082327499229052
0 G001277995 G001277995 0.0010082327499229052
0 G001412085 G001412085 0.0010082327499229052
0 G002563965 G002563965 0.0010082327499229052
0 G011612265 G011612265 0.0010082327499229052
0 G000411375 G000411375 0.0010082327499229052
0 G003716585 G003716585 0.0010082327499229052
0 G000375365 G000375365 0.0010082327499229052
0 G001412105 G001412105 0.0010082327499229052
0 G000835165 G000835165 0.0010082327499229052
0 G000344785 G000344785 0.0010082327499229052
0 G007904105 G007904105 0.0010082327499229052
0 G009734405 G009734405 0.0010082327499229052
0 G900169525 G900169525 0.0010082327499229052
0 G900176155 G900176155 0.0010082327499229052
0 G014267345 G014267345 0.0010082327499229052
0 G004114895 G004114895 0.0010082327499229052
0 G003955685 G003955685 0.0010082327499229052
0 G000819445 G000819445 0.0010082327499229052
0 G000980835 G000980835 0.0010082327499229052
0 G003814005 G003814005 0.0010082327499229052
0 G012838985 G012838985 0.0010082327499229052
0 G014522205 G014522205 0.0010082327499229052
0 G001021045 G001021045 0.0010082327499229052
0 G900177745 G900177745 0.0010082327499229052
0 G003813985 G003813985 0.0010082327499229052
0 G014837045 G014837045 0.0010082327499229052
0 G000011305 G000011305 0.0010082327499229052
0 G000418365 G000418365 0.0010082327499229052
0 G902782855 G902782855 0.0010082327499229052
0 G001020985 G001020985 0.0010082327499229052
0 G900113445 G900113445 0.0010082327499229052
0 G015351405 G015351405 0.0010082327499229052
0 G019114135 G019114135 0.0010082327499229052
0 G014490575 G014490575 0.0010082327499229052
0 G006539825 G006539825 0.0010082327499229052
0 G900049755 G900049755 0.0010082327499229052
0 G007970465 G007970465 0.0003859599688672488
0 G000007485 G000007485 0.00037976480847826913
0 G019120175 G019120175 0.00037976480847826913
0 G007673095 G007673095 0.00021760016608727073
0 G000372385 G000372385 0.00016599806373726763
